A1	BetaStar	E_k_Schmidt	E_Beta	E_w_Schmidt	O_k_Schmidt	O_Beta	O_w_Schmidt
0.263039	0.079413	0.408229	0.113558	0.870139	0.969913	0.137537	0.436157
0.852625	0.137113	0.328797	0.079668	0.839868	1.056496	0.291118	0.265158
0.228455	0.089526	0.437862	0.054727	1.179388	1.102780	0.390106	1.735146
0.896541	0.149373	0.665942	0.126595	0.662455	0.824664	0.056863	1.434255
0.659159	0.063693	1.120478	0.091560	1.052880	0.469698	0.187766	0.992592
0.224192	0.108326	0.638606	0.107807	1.415170	0.501065	0.247886	1.349241
0.807386	0.110661	1.131952	0.058051	0.793609	0.948595	0.185996	1.482656
0.662395	0.158953	0.901316	0.059371	0.893535	0.903040	0.063752	1.893947
0.283210	0.048792	0.362726	0.103703	0.687941	1.351269	0.059122	1.238621
0.512611	0.109785	0.761874	0.066429	1.432164	0.767208	0.178380	0.968213
0.788562	0.080135	0.506431	0.055860	0.996239	1.104671	0.052987	1.060582
0.534914	0.139324	0.581650	0.098502	0.863527	0.345074	0.130365	1.190826
0.489937	0.194914	0.957683	0.121048	1.424987	1.388420	0.191824	1.087856
0.624406	0.102361	0.363407	0.115230	0.737051	0.379985	0.359537	0.527563
0.735524	0.046056	0.420693	0.101058	1.451581	0.867308	0.143661	0.916373
0.216130	0.160446	1.164996	0.064802	0.780813	0.529188	0.225875	0.650353
0.297353	0.167251	0.431701	0.071354	0.920205	0.730906	0.201785	0.841677
0.423745	0.131950	0.744067	0.114262	0.601404	1.289615	0.384745	0.270710
0.612735	0.144609	1.140455	0.072279	1.357008	0.573868	0.073690	0.709152
0.545604	0.059884	0.928890	0.123452	0.990372	0.555660	0.040209	1.857851
0.249619	0.118086	1.187251	0.095695	0.801070	1.315315	0.307092	1.932624
0.310652	0.165390	0.692716	0.102674	0.616492	1.171667	0.122529	0.535656
0.880605	0.103940	1.110598	0.108503	1.348679	1.257570	0.388470	1.718193
0.633653	0.190239	0.548847	0.082224	0.982425	1.032110	0.096945	1.908800
0.686863	0.084394	1.147253	0.104937	1.086655	1.216136	0.280368	0.908655
0.719273	0.135826	0.866770	0.109579	1.252132	0.712845	0.087843	1.669733
0.585594	0.176413	1.104140	0.050479	0.762463	0.748117	0.170057	1.630666
0.327994	0.183059	0.734538	0.053847	1.202970	1.189796	0.368892	0.327703
0.816444	0.152341	0.562757	0.065394	1.024063	0.398856	0.205856	0.595244
0.407038	0.151298	1.084389	0.116057	1.175548	1.275497	0.316745	0.668201
0.287659	0.081857	0.798368	0.101221	1.216683	0.323534	0.221401	0.936879
0.772524	0.173045	0.456273	0.103600	1.394292	0.973069	0.108070	1.639102
0.471083	0.105143	0.321888	0.124835	0.949157	0.333511	0.241550	0.791916
0.674948	0.196356	0.730330	0.090661	1.114058	1.395216	0.180963	0.603264
0.715434	0.066417	1.179480	0.078075	1.192545	0.836875	0.282023	0.760599
0.454006	0.077856	0.306588	0.095247	1.321078	0.666230	0.155704	1.454913
0.334014	0.074545	1.011965	0.086436	0.761662	0.925970	0.275493	1.661884
0.750328	0.162705	1.006163	0.099296	0.830458	1.360370	0.216366	0.819071
0.541145	0.163643	0.672204	0.125835	1.486158	0.779884	0.152210	1.998644
0.726183	0.053668	1.000256	0.092202	0.666498	1.329867	0.248844	1.281973
0.391278	0.087188	0.943626	0.089945	0.933465	0.456052	0.149541	0.858926
0.645793	0.099545	0.373268	0.093110	1.276086	0.362288	0.264314	0.409528
0.347285	0.192499	0.835749	0.073778	0.811767	0.662891	0.146724	0.728935
0.756582	0.123726	0.974071	0.076962	1.075124	0.413577	0.364503	1.538715
0.862394	0.121746	1.049214	0.110071	1.222206	0.859851	0.113155	1.820290
0.430553	0.058356	1.043813	0.077601	1.302330	0.375843	0.318534	1.225684
0.694929	0.141060	0.682268	0.051576	1.294661	1.115896	0.273954	0.889139
0.235854	0.199378	1.021903	0.100389	0.954681	1.130069	0.084332	1.765686
0.613302	0.129579	0.467486	0.083406	0.733233	0.685395	0.078627	1.372632
0.654529	0.105996	0.479871	0.105523	1.131664	1.212852	0.333154	1.150348
0.362806	0.056997	0.813507	0.123902	0.969130	0.614943	0.350013	1.605979
0.866062	0.071183	0.893729	0.075678	0.705847	0.813513	0.044255	0.552765
0.503790	0.047918	0.593131	0.111440	1.378568	0.443847	0.236942	1.975259
0.499988	0.113711	0.344691	0.059686	1.445158	0.843719	0.300973	1.125190
0.312049	0.041521	0.495098	0.069479	1.408476	0.489770	0.231315	1.800424
0.599079	0.042733	0.844091	0.066813	1.272008	0.915420	0.117923	1.596115
0.437142	0.068325	0.514355	0.072714	0.860028	0.575101	0.242000	1.168652
0.382035	0.085190	0.714907	0.052811	0.848919	1.087843	0.211464	1.359819
0.322632	0.096541	0.786757	0.088542	1.211586	0.301716	0.398908	0.748796
0.245827	0.139024	0.603273	0.094297	1.102315	0.884288	0.071580	1.742400
0.211208	0.156683	0.984354	0.129898	1.341205	1.339868	0.167676	1.392285
0.464390	0.068859	0.610602	0.112199	1.465147	1.012916	0.286673	0.871996
0.826301	0.073012	0.907055	0.084436	0.900235	1.043668	0.303300	1.053344
0.680327	0.075819	0.646647	0.121944	0.931403	1.228376	0.261269	1.196424
0.374303	0.092314	0.824571	0.093761	0.719059	1.160777	0.339424	0.569192
0.760140	0.168515	0.952429	0.081757	0.708283	1.241124	0.375221	1.030071
0.444070	0.182384	0.913022	0.083678	0.886660	0.517378	0.360847	0.683648
0.887271	0.115237	1.094901	0.078830	1.334282	0.533491	0.330137	0.468900
0.379494	0.188507	0.392978	0.051833	0.745079	0.699962	0.109255	1.468355
0.775986	0.061199	0.485702	0.085714	1.455302	1.248667	0.310743	0.451141
0.563338	0.170398	0.560757	0.097994	1.048726	0.603251	0.348058	0.480321
0.874395	0.098545	1.029782	0.068844	0.913185	0.987897	0.373891	1.291654
0.566052	0.147596	0.618380	0.074296	1.145259	1.076489	0.337381	1.774852
0.705030	0.065434	1.157236	0.119985	1.479246	1.306754	0.196611	0.291411
0.523371	0.113029	0.754547	0.122593	0.672671	1.059317	0.381618	0.699111
0.836568	0.184290	0.876407	0.116529	1.038756	0.681150	0.048252	0.620551
0.304508	0.095861	0.780974	0.064377	1.014850	1.000983	0.293412	1.257709
0.846747	0.190936	0.309185	0.080658	1.373364	0.955092	0.219103	1.838917
0.582328	0.180130	0.875198	0.128721	1.315794	0.479714	0.345890	0.305484
0.781712	0.121444	0.709124	0.107427	0.638742	0.588467	0.354412	1.927843
0.638086	0.175239	0.853101	0.087825	0.647329	0.799247	0.323368	0.371133
0.811020	0.125679	0.526455	0.057042	0.623507	0.439001	0.068183	1.689151
0.594634	0.154157	1.191163	0.119140	0.968594	1.020156	0.227528	1.323684
0.571403	0.133400	0.696635	0.112998	1.107818	1.299260	0.100994	1.120705
0.451230	0.146984	0.387362	0.061004	1.258152	0.427174	0.205460	1.509117
0.342574	0.129734	0.931227	0.055420	1.080158	1.136899	0.255889	0.378743
0.517717	0.143786	0.774053	0.118535	1.499389	1.149303	0.298705	1.568875
0.202622	0.051514	0.400076	0.117986	0.777049	0.313336	0.136164	0.960705
0.358837	0.049896	0.658524	0.127477	1.242569	1.199200	0.325369	0.802244
0.276042	0.119642	0.345309	0.067710	1.124012	1.372970	0.393352	1.515753
0.800720	0.198254	0.578234	0.062978	0.632332	0.720979	0.102990	1.868798
0.483845	0.185862	0.810994	0.106012	1.067555	0.619267	0.082375	0.393478
0.473177	0.126562	0.538939	0.062088	1.233155	0.880686	0.123135	0.346601
0.739428	0.177899	1.059694	0.057783	0.822534	0.644486	0.129594	1.421533
0.397856	0.093985	1.066538	0.075108	1.289651	0.399814	0.269008	1.304917
0.550722	0.171781	1.076913	0.086815	1.151496	0.752277	0.164927	1.545715
0.257967	0.157184	0.976593	0.128113	0.692799	0.543248	0.256164	1.097221
0.416583	0.055705	0.519051	0.070719	1.387793	0.640212	0.161714	1.017489
0.838411	0.090965	0.624275	0.097095	1.013473	0.934141	0.093613	1.953550
0.703329	0.044040	0.447757	0.061897	1.164283	0.790444	0.175146	0.504438
